model,hf,kind,task,condition,n,n_valid,parse_fail,counts,tv,p_mode,seed
qwen25-base,Qwen/Qwen2.5-7B,base,point_5,V8,10,160,2,"{""5"": 160}",0.0,1.0,13
qwen25-base,Qwen/Qwen2.5-7B,base,uniform_digit,V0,200,190,10,"{""3"": 61, ""5"": 23, ""1"": 21, ""4"": 35, ""2"": 50}",0.1842105263157895,0.3210526315789473,13
qwen25-base,Qwen/Qwen2.5-7B,base,uniform_digit,V8,10,181,1,"{""1"": 35, ""3"": 36, ""2"": 35, ""4"": 45, ""5"": 30}",0.0486187845303867,0.2486187845303867,13
qwen25-base,Qwen/Qwen2.5-7B,base,fair_coin,V0,200,194,6,"{""H"": 115, ""T"": 79}",0.0927835051546391,0.5927835051546392,13
qwen25-base,Qwen/Qwen2.5-7B,base,fair_coin,V8,10,180,1,"{""H"": 89, ""T"": 91}",0.0055555555555555,0.5055555555555555,13
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_binary,V0,200,186,14,"{""beta"": 70, ""alpha"": 116}",0.0763440860215053,0.6236559139784946,13
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_binary,V8,10,187,1,"{""beta"": 44, ""alpha"": 143}",0.0647058823529411,0.7647058823529411,13
qwen25-base,Qwen/Qwen2.5-7B,base,bimodal_5way,V0,200,194,6,"{""1"": 102, ""2"": 12, ""4"": 42, ""5"": 27, ""3"": 11}",0.2989690721649485,0.5257731958762887,13
qwen25-base,Qwen/Qwen2.5-7B,base,bimodal_5way,V8,10,180,1,"{""1"": 81, ""2"": 8, ""4"": 19, ""5"": 70, ""3"": 2}",0.0666666666666666,0.45,13
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_5way,V0,200,194,6,"{""1"": 167, ""2"": 12, ""5"": 10, ""3"": 3, ""4"": 2}",0.3608247422680413,0.8608247422680413,13
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_5way,V8,10,182,1,"{""1"": 90, ""2"": 32, ""3"": 21, ""4"": 21, ""5"": 18}",0.0307692307692307,0.4945054945054945,13
qwen25-base,Qwen/Qwen2.5-7B,base,point_5,V0,200,188,12,"{""5"": 187, ""1"": 1}",0.0053191489361702,0.9946808510638298,47
qwen25-base,Qwen/Qwen2.5-7B,base,point_5,V8,10,180,1,"{""5"": 179, ""2"": 1}",0.0055555555555555,0.9944444444444444,47
qwen25-base,Qwen/Qwen2.5-7B,base,uniform_digit,V0,200,197,3,"{""3"": 74, ""2"": 46, ""1"": 9, ""4"": 49, ""5"": 19}",0.2578680203045685,0.3756345177664975,47
qwen25-base,Qwen/Qwen2.5-7B,base,uniform_digit,V8,10,200,0,"{""1"": 40, ""2"": 39, ""3"": 40, ""4"": 41, ""5"": 40}",0.0049999999999999,0.205,47
qwen25-base,Qwen/Qwen2.5-7B,base,fair_coin,V0,200,193,7,"{""H"": 117, ""T"": 76}",0.1062176165803109,0.6062176165803109,47
qwen25-base,Qwen/Qwen2.5-7B,base,fair_coin,V8,10,200,0,"{""H"": 106, ""T"": 94}",0.03,0.53,47
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_binary,V0,200,190,10,"{""beta"": 75, ""alpha"": 115}",0.0947368421052631,0.6052631578947368,47
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_binary,V8,10,212,0,"{""alpha"": 163, ""beta"": 49}",0.0688679245283019,0.7688679245283019,47
qwen25-base,Qwen/Qwen2.5-7B,base,bimodal_5way,V0,200,193,7,"{""1"": 91, ""2"": 20, ""5"": 24, ""4"": 47, ""3"": 11}",0.2756476683937824,0.4715025906735751,47
qwen25-base,Qwen/Qwen2.5-7B,base,bimodal_5way,V8,10,200,0,"{""1"": 84, ""5"": 79, ""2"": 19, ""4"": 16, ""3"": 2}",0.0299999999999999,0.42,47
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_5way,V0,200,195,5,"{""1"": 170, ""2"": 14, ""3"": 5, ""4"": 3, ""5"": 3}",0.3717948717948718,0.8717948717948718,47
qwen25-base,Qwen/Qwen2.5-7B,base,skewed_5way,V8,10,200,0,"{""1"": 97, ""2"": 40, ""3"": 17, ""4"": 19, ""5"": 27}",0.035,0.485,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,point_5,V0,200,195,5,"{""5"": 195}",0.0,1.0,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,point_5,V8,10,160,2,"{""5"": 160}",0.0,1.0,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,uniform_digit,V0,200,196,4,"{""3"": 92, ""4"": 46, ""1"": 10, ""2"": 30, ""5"": 18}",0.3040816326530612,0.4693877551020408,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,uniform_digit,V8,10,180,1,"{""1"": 37, ""3"": 36, ""2"": 35, ""4"": 41, ""5"": 31}",0.0333333333333333,0.2277777777777777,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,fair_coin,V0,200,198,2,"{""H"": 95, ""T"": 103}",0.0202020202020202,0.5202020202020202,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,fair_coin,V8,10,180,1,"{""H"": 94, ""T"": 86}",0.0222222222222222,0.5222222222222223,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_binary,V0,200,198,2,"{""beta"": 26, ""alpha"": 172}",0.1686868686868687,0.8686868686868687,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_binary,V8,10,180,1,"{""beta"": 35, ""alpha"": 145}",0.1055555555555555,0.8055555555555556,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,bimodal_5way,V0,200,197,3,"{""1"": 81, ""2"": 11, ""4"": 46, ""5"": 49, ""3"": 10}",0.1954314720812183,0.4111675126903553,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,bimodal_5way,V8,10,180,1,"{""1"": 75, ""2"": 15, ""4"": 23, ""5"": 62, ""3"": 5}",0.0722222222222222,0.4166666666666667,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_5way,V0,200,197,3,"{""1"": 128, ""2"": 21, ""5"": 20, ""4"": 10, ""3"": 18}",0.1512690355329949,0.649746192893401,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_5way,V8,10,180,1,"{""1"": 68, ""3"": 30, ""2"": 31, ""4"": 26, ""5"": 25}",0.1499999999999999,0.3777777777777777,13
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,point_5,V0,200,194,6,"{""5"": 193, ""1"": 1}",0.0051546391752577,0.9948453608247424,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,point_5,V8,10,200,0,"{""5"": 200}",0.0,1.0,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,uniform_digit,V0,200,197,3,"{""3"": 112, ""2"": 21, ""1"": 9, ""4"": 46, ""5"": 9}",0.4020304568527919,0.5685279187817259,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,uniform_digit,V8,10,200,0,"{""1"": 40, ""2"": 41, ""3"": 40, ""4"": 40, ""5"": 39}",0.0049999999999999,0.205,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,fair_coin,V0,200,194,6,"{""H"": 96, ""T"": 98}",0.0051546391752577,0.5051546391752577,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,fair_coin,V8,10,200,0,"{""H"": 103, ""T"": 97}",0.015,0.515,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_binary,V0,200,197,3,"{""alpha"": 173, ""beta"": 24}",0.1781725888324873,0.8781725888324873,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_binary,V8,10,200,0,"{""alpha"": 152, ""beta"": 48}",0.06,0.76,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,bimodal_5way,V0,200,196,4,"{""1"": 66, ""2"": 14, ""5"": 45, ""3"": 16, ""4"": 55}",0.2622448979591837,0.336734693877551,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,bimodal_5way,V8,10,200,0,"{""1"": 74, ""2"": 27, ""5"": 67, ""3"": 9, ""4"": 23}",0.095,0.37,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_5way,V0,200,196,4,"{""1"": 129, ""2"": 23, ""3"": 29, ""4"": 11, ""5"": 4}",0.2061224489795918,0.6581632653061225,47
qwen25-coder-base,Qwen/Qwen2.5-Coder-7B,base,skewed_5way,V8,10,199,0,"{""1"": 99, ""2"": 43, ""3"": 20, ""4"": 17, ""5"": 20}",0.0170854271356783,0.4974874371859296,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,point_5,V8,10,200,0,"{""5"": 200}",0.0,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,uniform_digit,V0,200,200,0,"{""3"": 200}",0.8,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,uniform_digit,V8,10,200,0,"{""1"": 40, ""2"": 40, ""3"": 40, ""4"": 40, ""5"": 40}",0.0,0.2,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,fair_coin,V0,200,200,0,"{""H"": 200}",0.5,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,fair_coin,V8,10,200,0,"{""H"": 108, ""T"": 92}",0.04,0.54,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 200}",0.3,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_binary,V8,10,103,5,"{""alpha"": 85, ""beta"": 18}",0.1252427184466019,0.8252427184466019,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,bimodal_5way,V0,200,200,0,"{""1"": 200}",0.6,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,bimodal_5way,V8,10,201,0,"{""1"": 88, ""4"": 18, ""5"": 78, ""2"": 17}",0.0378109452736318,0.4378109452736318,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_5way,V0,200,200,0,"{""1"": 200}",0.4999999999999999,1.0,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_5way,V8,10,200,0,"{""1"": 106, ""2"": 33, ""3"": 16, ""4"": 20, ""5"": 25}",0.055,0.53,13
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,point_5,V8,10,200,0,"{""5"": 200}",0.0,1.0,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,uniform_digit,V0,200,200,0,"{""3"": 200}",0.8,1.0,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,uniform_digit,V8,10,200,0,"{""1"": 40, ""2"": 40, ""3"": 40, ""4"": 40, ""5"": 40}",0.0,0.2,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,fair_coin,V0,200,200,0,"{""H"": 199, ""T"": 1}",0.495,0.995,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,fair_coin,V8,10,199,0,"{""H"": 110, ""T"": 89}",0.0527638190954773,0.5527638190954773,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 200}",0.3,1.0,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_binary,V8,10,158,3,"{""alpha"": 145, ""beta"": 13}",0.2177215189873418,0.9177215189873418,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,bimodal_5way,V0,200,200,0,"{""1"": 200}",0.6,1.0,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,bimodal_5way,V8,10,200,0,"{""1"": 80, ""2"": 20, ""4"": 20, ""5"": 80}",0.0,0.4,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_5way,V0,200,200,0,"{""1"": 200}",0.4999999999999999,1.0,47
qwen25-instruct,Qwen/Qwen2.5-7B-Instruct,instruct,skewed_5way,V8,10,200,0,"{""1"": 108, ""2"": 33, ""3"": 15, ""4"": 20, ""5"": 24}",0.06,0.54,47
qwen3-8b,Qwen/Qwen3-8B,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,13
qwen3-8b,Qwen/Qwen3-8B,instruct,point_5,V8,10,138,2,"{""5"": 138}",0.0,1.0,13
qwen3-8b,Qwen/Qwen3-8B,instruct,uniform_digit,V0,200,200,0,"{""3"": 200}",0.8,1.0,13
qwen3-8b,Qwen/Qwen3-8B,instruct,uniform_digit,V8,10,193,0,"{""1"": 50, ""2"": 41, ""3"": 35, ""4"": 37, ""5"": 30}",0.0715025906735751,0.2590673575129533,13
qwen3-8b,Qwen/Qwen3-8B,instruct,fair_coin,V0,200,166,34,"{""H"": 165, ""T"": 1}",0.4939759036144578,0.993975903614458,13
qwen3-8b,Qwen/Qwen3-8B,instruct,fair_coin,V8,10,180,1,"{""H"": 119, ""T"": 61}",0.1611111111111111,0.6611111111111111,13
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 200}",0.3,1.0,13
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_binary,V8,10,40,8,"{""alpha"": 36, ""beta"": 4}",0.2,0.9,13
qwen3-8b,Qwen/Qwen3-8B,instruct,bimodal_5way,V0,200,200,0,"{""4"": 200}",0.8999999999999999,1.0,13
qwen3-8b,Qwen/Qwen3-8B,instruct,bimodal_5way,V8,10,201,0,"{""1"": 80, ""2"": 20, ""3"": 7, ""4"": 20, ""5"": 74}",0.0348258706467661,0.3980099502487562,13
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_5way,V0,200,200,0,"{""2"": 164, ""3"": 36}",0.7000000000000001,0.82,13
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_5way,V8,10,200,0,"{""1"": 71, ""2"": 49, ""3"": 29, ""4"": 29, ""5"": 22}",0.145,0.355,13
qwen3-8b,Qwen/Qwen3-8B,instruct,point_5,V0,200,200,0,"{""5"": 200}",0.0,1.0,47
qwen3-8b,Qwen/Qwen3-8B,instruct,point_5,V8,10,73,4,"{""5"": 73}",0.0,1.0,47
qwen3-8b,Qwen/Qwen3-8B,instruct,uniform_digit,V0,200,200,0,"{""3"": 200}",0.8,1.0,47
qwen3-8b,Qwen/Qwen3-8B,instruct,uniform_digit,V8,10,200,0,"{""1"": 46, ""2"": 44, ""3"": 42, ""4"": 42, ""5"": 26}",0.0699999999999999,0.23,47
qwen3-8b,Qwen/Qwen3-8B,instruct,fair_coin,V0,200,161,39,"{""H"": 161}",0.5,1.0,47
qwen3-8b,Qwen/Qwen3-8B,instruct,fair_coin,V8,10,200,0,"{""H"": 135, ""T"": 65}",0.175,0.675,47
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 200}",0.3,1.0,47
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_binary,V8,10,80,6,"{""alpha"": 72, ""beta"": 8}",0.2,0.9,47
qwen3-8b,Qwen/Qwen3-8B,instruct,bimodal_5way,V0,200,200,0,"{""4"": 200}",0.8999999999999999,1.0,47
qwen3-8b,Qwen/Qwen3-8B,instruct,bimodal_5way,V8,10,200,0,"{""1"": 80, ""2"": 20, ""3"": 7, ""4"": 20, ""5"": 73}",0.035,0.4,47
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_5way,V0,200,200,0,"{""2"": 159, ""3"": 41}",0.7000000000000001,0.795,47
qwen3-8b,Qwen/Qwen3-8B,instruct,skewed_5way,V8,10,200,0,"{""1"": 71, ""2"": 49, ""3"": 29, ""4"": 29, ""5"": 22}",0.145,0.355,47
