item_key,model,k,pew_dist,argyle_n_valid,tv_argyle,ppa_n_valid,tv_ppa,describe_raw,tv_describe
GUNSOCIETY_W26,qwen3-8b,2,"[0.4267578125, 0.5732421875]",100,0.4167578125,100,0.0367578124999999,"{
  ""distribution"": [0.55, 0.45]
}",0.1232421875
GUNCOMMUNITY_W26,qwen3-8b,2,"[0.6387460200832721, 0.3612539799167279]",100,0.3787460200832721,100,0.2887460200832721,"{
  ""distribution"": [0.45, 0.55]
}",0.1887460200832721
GUNCOURSES_W26,qwen3-8b,2,"[0.38229618909792573, 0.6177038109020743]",100,0.0177038109020742,100,0.2477038109020742,"{
  ""distribution"": [0.35, 0.65]
}",0.0322961890979257
WORLDDANGER_W26,qwen3-8b,3,"[0.0969449121962954, 0.704354101515516, 0.1987009862881886]",100,0.1887009862881886,100,0.234354101515516,"{
  ""distribution"": [0.45, 0.35, 0.20]
}",0.354354101515516
WORRYA_W26,qwen3-8b,3,"[0.11707789066279632, 0.5892597968069666, 0.29366231253023706]",100,0.3807402031930333,100,0.1070778906627963,"{
  ""distribution"": [0.35, 0.40, 0.25]
}",0.2329221093372036
WORRYB_W26,qwen3-8b,3,"[0.08619854721549637, 0.4450363196125908, 0.4687651331719128]",100,0.5149636803874091,100,0.0661985472154963,"{
  ""distribution"": [0.15, 0.35, 0.50]
}",0.0950363196125908
WORRYC_W26,qwen3-8b,3,"[0.1543726235741445, 0.4091254752851711, 0.43650190114068443]",100,0.5608745247148288,100,0.2108745247148289,"{
  ""distribution"": [0.35, 0.40, 0.25]
}",0.1956273764258555
WORRYD_W26,qwen3-8b,3,"[0.2295160517489219, 0.42453282223287014, 0.34595112601820793]",100,0.5554671777671298,100,0.2454671777671298,"{
  ""distribution"": [0.35, 0.40, 0.25]
}",0.120483948251078
WORRYE_W26,qwen3-8b,3,"[0.07446300715990453, 0.5221957040572792, 0.4033412887828162]",100,0.4478042959427207,100,0.0544630071599045,"{
  ""distribution"": [0.25, 0.40, 0.35]
}",0.1755369928400954
WORRYF_W26,qwen3-8b,3,"[0.06118546845124283, 0.3365200764818356, 0.6022944550669216]",100,0.6134799235181644,100,0.2834799235181644,"{
  ""distribution"": [0.25, 0.40, 0.35]
}",0.2522944550669216
WORRYG_W26,qwen3-8b,3,"[0.22756795766177532, 0.5939379360115468, 0.1784941063266779]",100,0.3360620639884533,100,0.1575679576617753,"{
  ""distribution"": [0.35, 0.45, 0.20]
}",0.1439379360115467
SAFECRIME_W26,qwen3-8b,4,"[0.28114478114478114, 0.5738335738335738, 0.1188071188071188, 0.026214526214526215]",100,0.2873593073593073,100,0.4011928811928812,"{
  ""distribution"": [0.35, 0.30, 0.25, 0.10]
}",0.2738335738335739
GUNIDENTITY_W26,qwen3-8b,4,"[0.2161144578313253, 0.20180722891566266, 0.3185240963855422, 0.2635542168674699]",100,0.3753614457831325,100,0.0796686746987951,"{
  ""distribution"": [0.25, 0.30, 0.25, 0.20]
}",0.132078313253012
SHOOTFREQ_W26,qwen3-8b,4,"[0.05524518932340161, 0.18684047175667287, 0.2880198634388578, 0.46989447548106766]",100,0.4651396648044693,100,0.2898944754810676,"{
  ""distribution"": [0.10, 0.25, 0.35, 0.30]
}",0.1698944754810676
GUNACCESS_W26,qwen3-8b,4,"[0.34467120181405897, 0.1670445956160242, 0.12169312169312169, 0.36659108087679515]",100,0.5883068783068783,100,0.5083068783068783,"{
  ""distribution"": [0.05, 0.10, 0.30, 0.55]
}",0.3617157974300832
GUNCONTRIBA_W26,qwen3-8b,4,"[0.31573873222463245, 0.2812725958062184, 0.26367799469751746, 0.1393106772716317]",100,0.4387274041937816,100,0.3850494094962641,"{
  ""distribution"": [0.15, 0.25, 0.35, 0.25]
}",0.1970113280308508
GUNCONTRIBB_W26,qwen3-8b,4,"[0.5826714801444043, 0.3025270758122744, 0.08134777376654632, 0.03345367027677497]",100,0.4861251504211792,100,0.5061251504211793,"{
  ""distribution"": [0.25, 0.30, 0.25, 0.20]
}",0.3351985559566787
GUNCONTRIBC_W26,qwen3-8b,4,"[0.24793789422610382, 0.3726346433770015, 0.30858806404657935, 0.07083939835031539]",100,0.6414119359534207,100,0.4514119359534206,"{
  ""distribution"": [0.15, 0.25, 0.35, 0.25]
}",0.2205725376031052
GUNCONTRIBD_W26,qwen3-8b,4,"[0.24052478134110788, 0.41156462585034015, 0.2725947521865889, 0.07531584062196307]",100,0.2284353741496598,100,0.2258406219630709,"{
  ""distribution"": [0.25, 0.30, 0.25, 0.20]
}",0.134159378036929
